GENEALOGICAL_AFFILIATION;MACRO_AREA;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
chapacuran moreic-waric;south america;no;dna;dna
katukinan katukína-kanamarí;south america;no;dna;dna
tai-kadai kam-tai;southeast asia-oceania;no;dna;dna
austroasiatic nicobaric;southeast asia-oceania;yes;yes;yes
kiowa-tanoan kiowa;north america-mesoamerica;no;dna;dna
hatam-mansim hatam;australia-papua new guinea;no;dna;dna
angan nuclear angan;australia-papua new guinea;no;dna;dna
kxa ju-jung;africa;no;dna;dna
yuki-wappo wappo;north america-mesoamerica;no;dna;dna
yeniseian northern yeniseian;eurasia;no;dna;dna
japonic japanesic;eurasia;yes;yes;no
afro-asiatic chadic;africa;no;dna;dna
tequistlatecan lowland oaxaca chontal;north america-mesoamerica;no;dna;dna
nuclear trans new guinea madang;australia-papua new guinea;no;dna;dna
tsimshian southern-coastal tsimshian;north america-mesoamerica;no;dna;dna
sahaptian sahaptin;north america-mesoamerica;no;dna;dna
pidgins and creoles;africa;no;dna;dna
cariban guianan;south america;no;dna;dna
guaicuruan guaicuru del sur;south america;no;dna;dna
yokutsan general yokuts;north america-mesoamerica;no;dna;dna
misumalpan mískito;north america-mesoamerica;no;dna;dna
ndu nuclear ndu;australia-papua new guinea;no;dna;dna
tungusic central tungusic;eurasia;no;dna;dna
language isolate;africa;no;dna;dna
indo-european armenic;eurasia;yes;no;yes
kartvelian georgian-zan;eurasia;no;dna;dna
austronesian malayo-polynesian;australia-papua new guinea;no;dna;dna
koreanic korean;eurasia;no;dna;dna
austroasiatic aslian;southeast asia-oceania;no;dna;dna
chonan continental chonan;south america;no;dna;dna
sino-tibetan burmo-qiangic;southeast asia-oceania;no;dna;dna
huavean san dionisio-san mateo huave;north america-mesoamerica;yes;yes;no
salishan central salish;north america-mesoamerica;no;dna;dna
yam morehead-maro;australia-papua new guinea;no;dna;dna
mixe-zoque zoque;north america-mesoamerica;yes;yes;no
language isolate;southeast asia-oceania;no;dna;dna
northern daly mullukmulluk;australia-papua new guinea;no;dna;dna
austronesian east formosan;southeast asia-oceania;yes;yes;yes
language isolate;south america;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;yes;yes;no
language isolate;eurasia;no;dna;dna
language isolate;north america-mesoamerica;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
language isolate;southeast asia-oceania;no;dna;dna
kuliak ik;africa;no;dna;dna
language isolate;southeast asia-oceania;no;dna;dna
khoe-kwadi khoe;africa;no;dna;dna
arawan madi-madiha;south america;no;dna;dna
chicham shuaric;south america;no;dna;dna
keresan western keres;north america-mesoamerica;no;dna;dna
language isolate;north america-mesoamerica;no;dna;dna
nuclear-macro-je jabuti;south america;no;dna;dna
pama-nyungan southeastern pama-nyungan;australia-papua new guinea;no;dna;dna
blue nile mao bambassi;africa;no;dna;dna
zaparoan iquito-arabela;south america;yes;yes;yes
western daly bringen;australia-papua new guinea;no;dna;dna
north halmahera northern north halmahera;southeast asia-oceania;no;dna;dna
language isolate;africa;no;dna;dna
haida northern haida;north america-mesoamerica;no;dna;dna
saharan western saharan;africa;no;dna;dna
siouan core siouan;north america-mesoamerica;no;dna;dna
arawakan japura-colombia;south america;no;dna;dna
north bougainville rotokas-askopan;australia-papua new guinea;no;dna;dna
pama-nyungan desert nyungic;australia-papua new guinea;no;dna;dna
dogon escarpment dogon;africa;no;dna;dna
narrow talodi lumun-torona;africa;no;dna;dna
atlantic-congo volta-congo;africa;no;dna;dna
kakua-nukak kakua;south america;no;dna;dna
salishan interior salish;north america-mesoamerica;no;dna;dna
language isolate;north america-mesoamerica;no;dna;dna
tucanoan eastern tucanoan;south america;no;dna;dna
mirndi jingulu;australia-papua new guinea;no;dna;dna
language isolate;eurasia;yes;yes;no
austroasiatic khmeric;southeast asia-oceania;no;dna;dna
nyulnyulan western nyulnyulan;australia-papua new guinea;no;dna;dna
hmong-mien hmongic;southeast asia-oceania;no;dna;dna
algic yurok;north america-mesoamerica;no;dna;dna
sino-tibetan karenic;southeast asia-oceania;no;dna;dna
nakh-daghestanian nakh;eurasia;no;dna;dna
mayan huastecan mayan;north america-mesoamerica;yes;yes;no
language isolate;eurasia;yes;yes;no
cochimi-yuman;north america-mesoamerica;no;dna;dna
mongolic-khitan mongolic;eurasia;no;dna;dna
east bird’s head meax;australia-papua new guinea;no;dna;dna
language isolate;southeast asia-oceania;no;dna;dna
cariban apalaí;south america;no;dna;dna
language isolate;eurasia;no;dna;dna
language isolate;africa;no;dna;dna
language isolate;australia-papua new guinea;no;dna;dna
language isolate;south america;no;dna;dna
zamucoan zamuco-ayoreo;south america;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
uralic hungarian;eurasia;yes;yes;no
south omotic dime;africa;no;dna;dna
austroasiatic mundaic;eurasia;yes;yes;no
muskogean alabaman-koasati;north america-mesoamerica;no;dna;dna
eastern trans-fly meriam;australia-papua new guinea;no;dna;dna
pidgins and creoles;africa;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
peba-yagua yagua;south america;no;dna;dna
pidgins and creoles;south america;yes;yes;yes
mangarrayi-maran mangarrayi;australia-papua new guinea;no;dna;dna
yukaghir kolymic;eurasia;yes;yes;no
atlantic-congo volta-congo;africa;no;dna;dna
sino-tibetan himalayish;southeast asia-oceania;no;dna;dna
mande western mande;africa;no;dna;dna
afro-asiatic cushitic;africa;no;dna;dna
chibchan core chibchan;north america-mesoamerica;no;dna;dna
east strickland konai;australia-papua new guinea;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
bororoan bororo-otuke;south america;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
language isolate;south america;no;dna;dna
nuclear torricelli west palai;australia-papua new guinea;no;dna;dna
uto-aztecan southern uto-aztecan;north america-mesoamerica;yes;yes;no
mongolic-khitan mongolic;southeast asia-oceania;no;dna;dna
nambiquaran nambikwara complex;south america;no;dna;dna
lower sepik-ramu ramu;australia-papua new guinea;no;dna;dna
ta-ne-omotic ometo;africa;no;dna;dna
tai-kadai kam-tai;southeast asia-oceania;no;dna;dna
indo-european germanic;eurasia;yes;yes;no
cahuapanan jebero;south america;no;dna;dna
tai-kadai kam-tai;southeast asia-oceania;no;dna;dna
language isolate;south america;no;dna;dna
language isolate;australia-papua new guinea;no;dna;dna
iroquoian northern iroquoian;north america-mesoamerica;no;dna;dna
kadugli-krongo central-western kadugli-krongo;africa;no;dna;dna
austronesian western plains austronesian;southeast asia-oceania;no;dna;dna
central sudanic membi-mangbutu-efe;africa;no;dna;dna
totonacan totonac;north america-mesoamerica;no;dna;dna
border bewani;australia-papua new guinea;no;dna;dna
naduhup eastern naduhup;south america;yes;yes;no
dagan daga;australia-papua new guinea;no;dna;dna
tupian maweti-guarani;south america;no;dna;dna
afro-asiatic cushitic;africa;yes;no;yes
wakashan southern wakashan;north america-mesoamerica;no;dna;dna
kwomtari-nai kwomtari;australia-papua new guinea;no;dna;dna
pama-nyungan yimidhirr-yalanji-yidinic;australia-papua new guinea;no;dna;dna
pama-nyungan karnic;australia-papua new guinea;no;dna;dna
quechuan quechua i;south america;yes;yes;no
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
bunaban gooniyandi;australia-papua new guinea;no;dna;dna
sepik sepik hill;australia-papua new guinea;no;dna;dna
indo-european indo-iranian;eurasia;yes;no;yes
athabaskan-eyak-tlingit athabaskan-eyak;north america-mesoamerica;no;dna;dna
austronesian malayo-polinesian;southeast asia-oceania;no;dna;dna
tangkic southern tangkic;australia-papua new guinea;no;dna;dna
afro-asiatic chadic;africa;no;dna;dna
anim marind-boazi-yaqai;australia-papua new guinea;no;dna;dna
atlantic-congo volta-congo;africa;no;dna;dna
nuclear trans new guinea finisterre-huon;australia-papua new guinea;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
harakmbut amarakaeri;south america;no;dna;dna
dizoid sheko;africa;no;dna;dna
nilotic eastern nilotic;africa;yes;yes;no
gunwinyguan marne;australia-papua new guinea;no;dna;dna
language isolate;eurasia;no;dna;dna
kiwaian northeast kiwai;australia-papua new guinea;no;dna;dna
jodi-saliban saliban;south america;no;dna;dna
nuclear-macro-je je;south america;no;dna;dna
taulil-butam;southeast asia-oceania;no;dna;dna
yanomamic sanumá;south america;no;dna;dna
sino-tibetan bodic;southeast asia-oceania;no;dna;dna
guahiboan guahibo-cuiva;south america;no;dna;dna
hurro-urartian hurrian;eurasia;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
ainu hokkaido-kuril ainu;eurasia;no;dna;dna
south bougainville buin;australia-papua new guinea;no;dna;dna
tor-orya orya;australia-papua new guinea;no;dna;dna
geelvink bay bauzi;australia-papua new guinea;no;dna;dna
abkhaz-adyghe circassian;eurasia;yes;yes;no
afro-asiatic berber;africa;yes;yes;no
atlantic-congo volta-congo;africa;no;dna;dna
limilngan-wulna limilngan;australia-papua new guinea;no;dna;dna
athabaskan-eyak-tlingit athabaskan-eyak;north america-mesoamerica;no;dna;dna
afro-asiatic chadic;africa;no;dna;dna
huitotoan nuclear witotoan;south america;no;dna;dna
language isolate;north america-mesoamerica;no;dna;dna
sko skou-serra-piore;australia-papua new guinea;no;dna;dna
turkic common turkic;eurasia;yes;yes;yes
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
pano-tacanan tacanan;south america;no;dna;dna
atlantic-congo volta-congo;africa;no;dna;dna
araucanian mapudungun;south america;no;dna;dna
songhay northwest songhay;africa;no;dna;dna
tupian maweti-guarani;south america;no;dna;dna
sino-tibetan kuki-chin-naga;southeast asia-oceania;no;dna;dna
turkic common turkic;eurasia;yes;yes;no
jarrakan kija;australia-papua new guinea;no;dna;dna
xincan xinca-guazacapan;north america-mesoamerica;no;dna;dna
yangmanic wardaman;australia-papua new guinea;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
chocoan embera;south america;no;dna;dna
kalapuyan central kalapuya;north america-mesoamerica;no;dna;dna
matacoan mataguayo i;south america;no;dna;dna
eskimo-aleut eskimo;north america-mesoamerica;no;dna;dna
tuu !kwi;africa;no;dna;dna
nubian west-central nubian;africa;yes;yes;no
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
language isolate;south america;no;dna;dna
otomanguean western otomanguean;north america-mesoamerica;yes;yes;no
mayan core mayan;north america-mesoamerica;yes;yes;yes
nuclear trans new guinea asmat-awyu-ok;australia-papua new guinea;no;dna;dna
atlantic-congo volta-congo;africa;no;dna;dna
pidgins and creoles;southeast asia-oceania;yes;yes;yes
maningrida burera-nakara;australia-papua new guinea;no;dna;dna
great andamanese north andamanese-akakede;southeast asia-oceania;no;dna;dna
koiarian baraic;australia-papua new guinea;no;dna;dna
southern daly nangikurrunggurr;australia-papua new guinea;no;dna;dna
language isolate;australia-papua new guinea;no;dna;dna
shastan shasta;north america-mesoamerica;no;dna;dna
tarascan purepecha;north america-mesoamerica;no;dna;dna
pama-nyungan south-west pama-nyungan;australia-papua new guinea;no;dna;dna
algic algonquian;north america-mesoamerica;no;dna;dna
kawesqar north-central alcalufan;south america;no;dna;dna
dravidian north dravidian;eurasia;yes;yes;no
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
chibchan core chibchan;south america;no;dna;dna
nuclear trans new guinea greater binanderean;australia-papua new guinea;no;dna;dna
language isolate;south america;no;dna;dna
arawakan palikúr;south america;no;dna;dna
timor-alor-pantar alor-pantar;southeast asia-oceania;no;dna;dna
language isolate;eurasia;no;dna;dna
uto-aztecan northern uto-aztecan;north america-mesoamerica;no;dna;dna
tucanoan western tucanoan;south america;no;dna;dna
atlantic-congo volta-congo;africa;no;dna;dna
austroasiatic khasi-palaung;eurasia;yes;yes;yes
language isolate;south america;no;dna;dna
otomanguean eastern otomanguean;north america-mesoamerica;yes;yes;no
indo-european indo-aryan;eurasia;yes;yes;yes
atlantic-congo volta-congo;africa;no;dna;dna
eskimo-aleut eskimo;north america-mesoamerica;yes;no;yes
dajuic eastern dajuic;africa;no;dna;dna
austroasiatic bahnaric;southeast asia-oceania;no;dna;dna
chukotko-kamchatkan;eurasia;no;dna;dna
mande eastern mande;africa;no;dna;dna
language isolate;north america-mesoamerica;no;dna;dna
afro-asiatic egyptian;africa;no;dna;dna
uralic permian;eurasia;yes;no;yes
aymaran tupe;south america;no;dna;dna
maban mabang;africa;no;dna;dna
afro-asiatic semitic;eurasia;yes;yes;no
language isolate;eurasia;yes;no;yes
atlantic-congo north-central atlantic;africa;no;dna;dna
barbacoan unclassified barbacoan;south america;no;dna;dna
atlantic-congo mel;africa;no;dna;dna
tai-kadai kadaic;southeast asia-oceania;no;dna;dna
austronesian malayo-polynesian;southeast asia-oceania;no;dna;dna
boran bora;south america;no;dna;dna
sino-tibetan sinitic;southeast asia-oceania;no;dna;dna
